response_time_ms,request_size_bytes,requests_per_minute_from_ip,failed_login_attempts,refresh_token_calls_per_min,db_query_latency_ms,cpu_usage_percent,status_family,is_error,endpoint_risk_score,db_latency_spike,auth_failure_ratio
29.5,323.0,2.0,0.0,1.0,16.0,22.700000000000003,2.0,0.0,3.0,16.0,0.0
69.0,241.0,2.0,0.0,0.0,51.5,20.2,2.0,0.0,1.0,9.5,0.0
106.0,265.0,1.0,0.0,0.0,97.0,24.7,2.0,0.0,2.0,0.0,0.0
111.0,196.5,2.0,0.0,0.0,97.5,18.15,2.0,0.0,2.0,22.5,0.0
102.0,463.0,1.0,0.0,0.0,91.0,13.8,2.0,0.0,1.0,0.0,0.0
141.0,249.0,1.0,0.0,0.0,104.0,14.7,2.0,0.0,1.0,0.0,0.0
67.0,229.0,1.0,0.0,0.0,58.0,39.0,2.0,0.0,1.0,0.0,0.0
137.0,314.0,1.0,0.0,0.0,97.0,27.6,2.0,0.0,3.0,0.0,0.0
77.0,248.0,1.0,0.0,0.0,44.0,17.1,2.0,0.0,1.0,0.0,0.0
85.0,357.0,1.0,0.0,0.0,50.0,15.3,2.0,0.0,1.0,0.0,0.0
111.0,359.0,1.0,0.0,0.0,111.0,28.0,2.0,0.0,1.0,0.0,0.0
95.5,457.0,2.0,0.0,0.0,58.0,38.35,2.0,0.0,2.5,32.0,0.0
70.0,144.0,1.0,0.0,0.0,56.0,10.6,2.0,0.0,1.0,0.0,0.0
21.0,100.0,1.0,0.0,1.0,0.0,28.2,2.0,0.0,3.0,0.0,0.0
59.5,360.5,4.0,0.0,0.0,39.75,25.674999999999997,2.0,0.0,1.0,30.13614938906429,0.0
62.0,205.0,2.0,0.0,0.0,51.5,19.15,2.0,0.0,0.5,51.5,0.0
74.0,503.0,1.0,0.0,0.0,43.0,27.0,2.0,0.0,3.0,0.0,0.0
86.0,346.0,1.0,0.0,0.0,71.0,36.0,2.0,0.0,3.0,0.0,0.0
102.0,297.0,1.0,0.0,0.0,74.0,17.2,2.0,0.0,3.0,0.0,0.0
64.75,388.5,4.0,0.0,2.0,42.5,20.400000000000002,2.5,1.0,1.6666666666666667,42.97382924525112,0.0
99.0,102.0,1.0,0.0,0.0,86.0,25.5,2.0,0.0,1.0,0.0,0.0
67.25,158.75,4.0,0.0,0.0,54.0,19.025,2.0,0.0,1.5,40.81053785482372,0.0
120.0,381.0,1.0,0.0,0.0,122.0,23.5,2.0,0.0,1.0,0.0,0.0
85.0,290.0,1.0,0.0,0.0,58.0,34.6,2.0,0.0,1.0,0.0,0.0
76.0,461.0,1.0,0.0,0.0,57.0,30.3,2.0,0.0,3.0,0.0,0.0
11.0,489.0,1.0,0.0,0.0,0.0,28.9,2.0,0.0,1.0,0.0,0.0
73.0,123.0,1.0,0.0,0.0,30.0,20.7,2.0,0.0,1.0,0.0,0.0
105.0,379.0,1.0,0.0,0.0,73.0,26.0,2.0,0.0,1.0,0.0,0.0
154.0,99.0,1.0,0.0,0.0,127.0,20.1,2.0,0.0,3.0,0.0,0.0
31.5,264.5,2.0,0.0,1.0,15.0,21.8,2.0,0.0,3.0,15.0,0.0
17.0,333.0,1.0,0.0,1.0,0.0,29.7,2.0,0.0,3.0,0.0,0.0
112.5,250.5,2.0,0.0,0.0,93.5,19.15,2.0,0.0,1.0,0.5,0.0
85.0,97.0,1.0,0.0,0.0,40.0,19.0,2.0,0.0,1.0,0.0,0.0
100.0,284.0,1.0,0.0,0.0,77.0,30.9,2.0,0.0,1.0,0.0,0.0
97.0,415.0,1.0,0.0,0.0,88.0,19.4,2.0,0.0,3.0,0.0,0.0
65.0,407.0,1.0,0.0,0.0,36.0,10.5,2.0,0.0,3.0,0.0,0.0
71.0,178.0,1.0,0.0,0.0,34.0,12.4,2.0,0.0,1.0,0.0,0.0
101.0,256.0,1.0,0.0,0.0,75.0,19.0,2.0,0.0,1.0,0.0,0.0
137.0,411.0,1.0,0.0,0.0,109.0,18.4,2.0,0.0,1.0,0.0,0.0
65.0,455.0,1.0,0.0,0.0,51.0,23.7,2.0,0.0,3.0,0.0,0.0
72.0,291.0,2.0,0.0,0.0,59.0,11.0,2.0,0.0,1.0,13.0,0.0
51.0,271.0,2.0,0.0,0.0,30.5,25.25,2.0,0.0,0.5,30.5,0.0
44.0,244.0,2.0,0.0,1.0,36.0,31.55,2.0,0.0,3.0,36.0,0.0
53.0,184.0,1.0,0.0,0.0,40.0,23.4,2.0,0.0,3.0,0.0,0.0
65.5,353.0,2.0,0.0,0.0,51.0,20.200000000000003,2.0,0.0,1.0,51.0,0.0
88.0,84.0,1.0,0.0,0.0,44.0,25.2,2.0,0.0,3.0,0.0,0.0
7.0,243.0,1.0,0.0,0.0,0.0,24.2,2.0,0.0,1.0,0.0,0.0
46.5,323.5,2.0,0.0,0.0,33.0,25.4,3.0,1.0,1.0,33.0,0.0
114.0,433.0,1.0,0.0,0.0,80.0,25.5,2.0,0.0,1.0,0.0,0.0
156.0,478.0,1.0,0.0,0.0,135.0,25.3,2.0,0.0,1.0,0.0,0.0
26.5,167.5,2.0,0.0,0.0,10.0,12.45,2.0,0.0,1.5,10.0,0.0
11.0,184.5,2.0,0.0,1.0,0.0,18.65,2.0,0.0,1.5,0.0,0.0
133.0,452.0,1.0,0.0,0.0,118.0,9.0,2.0,0.0,3.0,0.0,0.0
49.0,431.0,1.0,0.0,0.0,44.0,21.3,2.0,0.0,3.0,0.0,0.0
142.5,230.5,2.0,0.0,0.0,100.5,25.5,2.0,0.0,1.0,34.5,0.0
70.0,82.0,1.0,0.0,0.0,59.0,17.2,2.0,0.0,1.0,0.0,0.0
12.0,210.0,1.0,0.0,0.0,0.0,14.1,2.0,0.0,1.0,0.0,0.0
120.0,418.0,1.0,0.0,0.0,87.0,28.1,2.0,0.0,1.0,0.0,0.0
76.0,104.0,1.0,0.0,0.0,55.0,22.7,2.0,0.0,1.0,0.0,0.0
103.0,204.0,1.0,0.0,0.0,101.0,27.2,2.0,0.0,1.0,0.0,0.0
66.0,81.0,1.0,0.0,0.0,35.0,20.8,2.0,0.0,1.0,0.0,0.0
64.0,357.0,1.0,0.0,0.0,35.0,21.4,2.0,0.0,2.0,0.0,0.0
168.0,108.0,1.0,0.0,0.0,110.0,20.4,2.0,0.0,3.0,0.0,0.0
48.0,282.5,2.0,0.0,1.0,43.5,21.299999999999997,2.0,0.0,2.5,43.5,0.0
74.0,264.75,4.0,0.0,0.0,57.5,24.974999999999998,2.0,0.0,1.5,22.522211259110417,0.0
137.0,248.0,2.0,0.0,0.0,111.5,15.55,2.0,0.0,2.0,27.5,0.0
14.5,298.0,2.0,0.0,0.0,0.0,31.35,2.0,0.0,1.0,0.0,0.0
83.5,214.0,2.0,0.0,0.0,60.0,18.9,2.0,0.0,1.0,20.0,0.0
83.5,417.0,2.0,0.0,0.0,61.5,19.6,2.0,0.0,2.0,21.5,0.0
106.0,322.0,1.0,0.0,0.0,84.0,17.4,2.0,0.0,1.0,0.0,0.0
137.0,165.0,1.0,0.0,0.0,97.0,10.3,2.0,0.0,3.0,0.0,0.0
111.0,231.0,1.0,0.0,0.0,82.0,25.7,2.0,0.0,1.0,0.0,0.0
131.0,332.0,1.0,0.0,0.0,94.0,27.8,2.0,0.0,1.0,0.0,0.0
115.0,206.0,1.0,0.0,0.0,92.0,30.2,2.0,0.0,1.0,0.0,0.0
40.5,231.5,2.0,0.0,1.0,33.0,11.85,2.0,0.0,2.0,33.0,0.0
29.5,289.5,2.0,0.0,0.0,27.0,25.0,2.0,0.0,1.0,27.0,0.0
92.0,275.0,1.0,0.0,0.0,75.0,28.5,2.0,0.0,1.0,0.0,0.0
32.5,467.5,2.0,0.0,0.0,22.0,22.15,2.0,0.0,0.5,22.0,0.0
45.0,229.0,2.0,0.0,0.0,35.0,26.299999999999997,2.0,0.0,2.0,35.0,0.0
63.0,158.0,1.0,0.0,0.0,41.0,16.0,2.0,0.0,1.0,0.0,0.0
59.5,255.0,2.0,0.0,0.0,32.5,25.5,2.0,0.0,1.0,2.5,0.0
72.66666666666667,253.66666666666666,3.0,0.0,0.0,48.333333333333336,32.53333333333333,2.0,0.0,1.0,34.4705993887867,0.0
16.0,293.0,1.0,0.0,1.0,0.0,25.4,2.0,0.0,3.0,0.0,0.0
93.0,190.0,1.0,0.0,0.0,80.0,40.0,2.0,0.0,1.0,0.0,0.0
69.0,98.0,1.0,0.0,0.0,32.0,27.8,2.0,0.0,1.0,0.0,0.0
100.0,135.0,1.0,0.0,0.0,77.0,20.7,2.0,0.0,3.0,0.0,0.0
100.25,291.0,4.0,0.0,1.0,71.0,16.35,2.0,0.0,1.75,42.11294337849113,0.0
136.0,158.0,1.0,0.0,0.0,115.0,19.1,2.0,0.0,1.0,0.0,0.0
84.0,262.0,1.0,0.0,0.0,59.0,11.6,2.0,0.0,1.0,0.0,0.0
54.333333333333336,416.6666666666667,3.0,0.0,0.0,30.0,23.0,2.0,0.0,0.6666666666666666,27.27636339397171,0.0
13.0,188.0,1.0,0.0,0.0,0.0,23.2,2.0,0.0,0.0,0.0,0.0
58.0,302.0,1.0,0.0,0.0,31.0,32.2,2.0,0.0,1.0,0.0,0.0
47.0,215.0,1.0,0.0,0.0,28.0,23.8,2.0,0.0,3.0,0.0,0.0
49.5,201.5,2.0,0.0,0.0,24.5,14.5,2.0,0.0,1.0,24.5,0.0
73.0,364.0,1.0,0.0,0.0,34.0,18.8,2.0,0.0,1.0,0.0,0.0
115.0,445.5,2.0,0.0,0.0,96.0,20.25,2.0,0.0,1.0,20.0,0.0
73.66666666666667,434.6666666666667,3.0,0.0,1.0,50.0,27.53333333333333,2.0,0.0,2.3333333333333335,35.81433604950212,0.0
82.66666666666667,312.3333333333333,3.0,0.0,0.0,61.333333333333336,21.066666666666666,2.0,0.0,1.0,22.305953365762146,0.0
47.666666666666664,292.3333333333333,3.0,0.0,1.0,30.333333333333332,14.433333333333332,2.0,0.0,1.6666666666666667,24.115462996914562,0.0
55.666666666666664,352.3333333333333,3.0,0.0,0.0,36.666666666666664,19.633333333333333,2.0,0.0,1.3333333333333333,30.64129385141706,0.0
80.0,430.0,1.0,0.0,0.0,71.0,35.6,2.0,0.0,1.0,0.0,0.0
134.0,459.0,1.0,0.0,0.0,108.0,19.2,2.0,0.0,1.0,0.0,0.0
127.0,259.0,2.0,0.0,0.0,96.0,25.4,2.0,0.0,2.0,8.0,0.0
71.0,359.0,1.0,0.0,0.0,31.0,18.0,2.0,0.0,1.0,0.0,0.0
12.0,376.0,1.0,0.0,0.0,0.0,28.8,2.0,0.0,1.0,0.0,0.0
37.0,252.33333333333334,3.0,0.0,1.0,27.0,19.5,2.0,0.0,2.0,20.314198646923455,0.0
124.0,313.0,1.0,0.0,0.0,106.0,13.2,2.0,0.0,1.0,0.0,0.0
134.0,471.0,1.0,0.0,0.0,116.0,14.7,2.0,0.0,1.0,0.0,0.0
160.0,201.0,1.0,0.0,0.0,140.0,35.0,2.0,0.0,1.0,0.0,0.0
15.0,294.0,1.0,0.0,0.0,0.0,30.9,2.0,0.0,1.0,0.0,0.0
129.0,133.0,1.0,0.0,0.0,115.0,32.1,2.0,0.0,2.0,0.0,0.0
33.0,361.0,1.0,0.0,0.0,22.0,25.7,2.0,0.0,1.0,0.0,0.0
80.0,317.0,1.0,0.0,0.0,56.0,24.2,2.0,0.0,3.0,0.0,0.0
50.0,72.0,1.0,0.0,0.0,31.0,21.3,2.0,0.0,1.0,0.0,0.0
3.0,192.0,1.0,0.0,0.0,0.0,25.7,2.0,0.0,0.0,0.0,0.0
124.0,131.0,1.0,0.0,0.0,90.0,9.8,2.0,0.0,1.0,0.0,0.0
123.0,109.0,1.0,0.0,0.0,110.0,18.5,2.0,0.0,1.0,0.0,0.0
104.0,370.0,2.0,0.0,0.0,90.5,20.05,2.0,0.0,2.0,3.5,0.0
159.0,135.0,1.0,0.0,0.0,118.0,30.0,2.0,0.0,1.0,0.0,0.0
40.333333333333336,249.33333333333334,3.0,0.0,1.0,26.333333333333332,24.233333333333334,2.0,0.0,1.3333333333333333,37.2409571424915,0.0
21.333333333333332,314.3333333333333,3.0,0.0,1.0,11.333333333333334,23.066666666666663,2.0,0.0,1.6666666666666667,16.027753706895076,0.0
53.0,214.5,2.0,0.0,0.0,30.0,26.65,2.0,0.0,0.5,30.0,0.0
5.0,222.0,1.0,0.0,0.0,0.0,28.2,2.0,0.0,1.0,0.0,0.0
70.0,262.3333333333333,3.0,0.0,0.0,47.666666666666664,21.03333333333333,2.0,0.0,1.0,25.315783394730033,0.0
9.0,191.0,1.0,0.0,0.0,0.0,23.3,2.0,0.0,0.0,0.0,0.0
21.0,366.0,1.0,0.0,0.0,0.0,13.1,2.0,0.0,1.0,0.0,0.0
124.0,498.0,1.0,0.0,0.0,119.0,24.4,2.0,0.0,1.0,0.0,0.0
14.0,496.0,1.0,0.0,0.0,0.0,27.6,2.0,0.0,1.0,0.0,0.0
55.0,110.0,1.0,0.0,0.0,34.0,27.3,2.0,0.0,1.0,0.0,0.0
75.0,113.5,2.0,0.0,0.0,52.0,13.600000000000001,2.0,0.0,2.0,26.0,0.0
93.0,302.3333333333333,3.0,0.0,0.0,77.0,17.2,2.0,0.0,1.0,33.95094500402996,0.0
13.25,225.75,4.0,0.0,2.0,6.5,16.549999999999997,3.0,1.0,1.6666666666666667,11.258330249197702,0.0
109.0,395.0,1.0,0.0,0.0,60.0,12.6,2.0,0.0,1.0,0.0,0.0
90.5,357.0,2.0,0.0,0.0,64.0,25.35,2.0,0.0,1.0,64.0,0.0
90.0,64.0,1.0,0.0,0.0,75.0,18.8,2.0,0.0,3.0,0.0,0.0
14.0,178.0,1.0,0.0,0.0,0.0,27.3,2.0,0.0,1.0,0.0,0.0
113.0,316.0,1.0,0.0,0.0,71.0,30.6,2.0,0.0,3.0,0.0,0.0
34.0,424.0,1.0,0.0,0.0,22.0,34.1,2.0,0.0,3.0,0.0,0.0
27.0,284.0,2.0,0.0,1.0,17.0,18.85,3.0,1.0,3.0,17.0,0.0
50.0,297.0,2.0,0.0,0.0,43.0,31.55,2.0,0.0,1.5,43.0,0.0
87.0,285.0,2.0,0.0,0.0,62.5,18.5,2.0,0.0,2.0,36.5,0.0
135.0,483.0,1.0,0.0,0.0,85.0,32.5,2.0,0.0,1.0,0.0,0.0
61.5,333.5,2.0,0.0,0.0,35.0,36.75,2.0,0.0,1.0,35.0,0.0
60.5,310.0,2.0,0.0,0.0,27.0,35.2,2.0,0.0,1.0,1.0,0.0
93.0,354.0,1.0,0.0,0.0,81.0,22.8,2.0,0.0,1.0,0.0,0.0
103.0,356.0,1.0,0.0,0.0,91.0,17.0,2.0,0.0,1.0,0.0,0.0
95.0,89.0,1.0,0.0,0.0,87.0,11.1,2.0,0.0,1.0,0.0,0.0
88.0,460.0,1.0,0.0,0.0,64.0,26.0,2.0,0.0,1.0,0.0,0.0
55.0,412.0,1.0,0.0,0.0,22.0,19.5,2.0,0.0,1.0,0.0,0.0
10.0,261.0,1.0,0.0,1.0,0.0,16.4,2.0,0.0,3.0,0.0,0.0
54.0,395.0,1.0,0.0,0.0,44.0,17.5,2.0,0.0,1.0,0.0,0.0
92.0,319.5,2.0,0.0,0.0,73.0,27.200000000000003,2.0,0.0,1.0,15.0,0.0
109.5,407.5,2.0,0.0,0.0,72.0,25.400000000000002,2.0,0.0,2.0,34.0,0.0
92.5,323.0,2.0,0.0,0.0,78.5,31.950000000000003,2.0,0.0,1.0,12.5,0.0
53.0,399.0,1.0,0.0,0.0,32.0,19.6,2.0,0.0,1.0,0.0,0.0
102.0,290.0,4.0,0.0,0.0,62.25,21.075,2.0,0.0,1.0,14.184057952504283,0.0
4.0,137.0,1.0,0.0,0.0,0.0,19.2,2.0,0.0,1.0,0.0,0.0
92.0,279.0,2.0,0.0,0.0,92.0,30.200000000000003,2.0,0.0,2.0,22.0,0.0
100.0,438.0,1.0,0.0,0.0,64.0,13.3,2.0,0.0,1.0,0.0,0.0
109.0,260.0,1.0,0.0,0.0,86.0,34.7,2.0,0.0,1.0,0.0,0.0
22.0,96.0,2.0,0.0,0.0,7.5,18.65,2.0,0.0,2.0,7.5,0.0
116.0,474.0,1.0,0.0,0.0,88.0,20.8,2.0,0.0,1.0,0.0,0.0
48.0,289.0,1.0,0.0,0.0,24.0,32.2,2.0,0.0,1.0,0.0,0.0
155.0,285.0,1.0,0.0,0.0,108.0,27.1,2.0,0.0,1.0,0.0,0.0
89.0,500.0,1.0,0.0,0.0,81.0,18.0,2.0,0.0,1.0,0.0,0.0
137.0,291.0,1.0,0.0,0.0,93.0,17.8,2.0,0.0,1.0,0.0,0.0
90.0,278.0,2.0,0.0,0.0,62.0,20.95,2.0,0.0,1.0,16.0,0.0
76.0,445.5,2.0,0.0,1.0,63.5,24.2,2.0,0.0,2.0,63.5,0.0
38.5,422.5,2.0,0.0,0.0,34.0,32.7,2.0,0.0,0.5,34.0,0.0
78.5,91.5,2.0,0.0,0.0,44.5,28.3,2.0,0.0,0.5,44.5,0.0
69.0,190.5,2.0,0.0,0.0,36.5,32.3,2.0,0.0,1.0,36.5,0.0
119.0,362.0,1.0,0.0,0.0,96.0,28.5,2.0,0.0,1.0,0.0,0.0
45.0,138.0,1.0,0.0,0.0,27.0,32.5,2.0,0.0,1.0,0.0,0.0
140.0,467.0,1.0,0.0,0.0,94.0,10.9,2.0,0.0,1.0,0.0,0.0
5.5,328.5,2.0,0.0,1.0,0.0,30.45,2.0,0.0,2.0,0.0,0.0
50.5,253.25,4.0,0.0,0.0,39.75,27.325000000000003,2.0,0.0,1.0,27.589626673806226,0.0
106.0,466.0,1.0,0.0,0.0,79.0,22.7,2.0,0.0,1.0,0.0,0.0
45.0,282.0,2.0,0.0,0.0,26.5,15.7,2.0,0.0,2.0,26.5,0.0
73.0,491.0,1.0,0.0,0.0,38.0,31.9,2.0,0.0,3.0,0.0,0.0
114.0,241.66666666666666,3.0,0.0,0.0,95.0,12.533333333333331,2.6666666666666665,1.0,1.0,11.313708498984761,0.0
15.0,499.0,1.0,0.0,0.0,0.0,23.9,2.0,0.0,1.0,0.0,0.0
9.0,283.0,1.0,0.0,1.0,0.0,29.0,2.0,0.0,3.0,0.0,0.0
177.0,247.0,1.0,0.0,0.0,135.0,13.9,2.0,0.0,1.0,0.0,0.0
66.0,273.5,2.0,0.0,1.0,40.5,21.9,2.0,0.0,2.5,40.5,0.0
134.0,398.0,1.0,0.0,0.0,111.0,28.7,2.0,0.0,1.0,0.0,0.0
56.0,403.0,1.0,0.0,0.0,44.0,12.7,2.0,0.0,1.0,0.0,0.0
32.0,386.5,2.0,0.0,0.0,18.0,20.15,2.0,0.0,1.0,18.0,0.0
56.5,127.0,2.0,0.0,0.0,40.5,25.65,2.0,0.0,1.5,40.5,0.0
95.0,251.0,1.0,0.0,0.0,84.0,17.1,2.0,0.0,1.0,0.0,0.0
51.0,273.0,3.0,0.0,0.0,30.0,21.7,2.0,0.0,1.3333333333333333,28.331372481167705,0.0
158.0,357.0,1.0,0.0,0.0,94.0,30.2,2.0,0.0,1.0,0.0,0.0
73.5,450.0,2.0,0.0,0.0,61.0,15.75,2.0,0.0,1.0,61.0,0.0
116.0,282.0,1.0,0.0,0.0,96.0,21.5,2.0,0.0,1.0,0.0,0.0
18.0,155.0,1.0,0.0,0.0,0.0,32.2,2.0,0.0,1.0,0.0,0.0
60.0,246.5,2.0,0.0,0.0,30.0,28.0,2.0,0.0,1.5,10.0,0.0
64.0,109.0,1.0,0.0,0.0,31.0,26.5,2.0,0.0,1.0,0.0,0.0
8.0,391.0,1.0,0.0,0.0,0.0,36.5,2.0,0.0,1.0,0.0,0.0
28.5,414.0,2.0,0.0,1.0,15.0,19.55,2.0,0.0,3.0,15.0,0.0
89.0,318.5,2.0,0.0,0.0,70.0,22.8,2.0,0.0,1.0,41.0,0.0
7.0,270.0,1.0,0.0,1.0,0.0,20.2,2.0,0.0,3.0,0.0,0.0
97.0,111.0,1.0,0.0,0.0,72.0,25.6,2.0,0.0,1.0,0.0,0.0
142.0,184.0,1.0,0.0,0.0,117.0,14.9,2.0,0.0,1.0,0.0,0.0
61.0,267.0,1.0,0.0,0.0,48.0,25.2,2.0,0.0,1.0,0.0,0.0
87.0,228.5,2.0,0.0,0.0,62.5,30.700000000000003,2.0,0.0,1.0,27.5,0.0
84.0,207.0,1.0,0.0,0.0,72.0,27.3,2.0,0.0,1.0,0.0,0.0
15.0,306.0,1.0,0.0,0.0,0.0,13.9,2.0,0.0,1.0,0.0,0.0
31.0,267.0,1.0,0.0,0.0,26.0,30.0,2.0,0.0,1.0,0.0,0.0
56.0,240.0,1.0,0.0,0.0,23.0,37.4,2.0,0.0,1.0,0.0,0.0
79.0,433.0,3.0,0.0,0.0,52.666666666666664,24.133333333333336,2.0,0.0,1.6666666666666667,40.34297405441938,0.0
7.0,498.0,1.0,0.0,0.0,0.0,15.2,2.0,0.0,1.0,0.0,0.0
12.0,422.5,2.0,0.0,1.0,0.0,16.0,2.0,0.0,2.0,0.0,0.0
21.0,116.0,1.0,0.0,0.0,0.0,11.5,2.0,0.0,1.0,0.0,0.0
43.0,197.0,1.0,0.0,0.0,37.0,26.8,2.0,0.0,1.0,0.0,0.0
98.0,456.0,1.0,0.0,0.0,75.0,23.9,2.0,0.0,1.0,0.0,0.0
85.0,488.0,1.0,0.0,0.0,76.0,25.6,2.0,0.0,1.0,0.0,0.0
54.0,275.0,1.0,0.0,0.0,42.0,17.0,2.0,0.0,1.0,0.0,0.0
76.0,89.0,1.0,0.0,0.0,76.0,18.7,4.0,1.0,1.0,0.0,0.0
126.5,294.0,2.0,0.0,0.0,87.5,25.75,2.0,0.0,2.0,19.5,0.0
100.5,225.0,2.0,0.0,0.0,79.0,28.55,2.0,0.0,1.0,16.0,0.0
97.0,165.0,1.0,0.0,0.0,84.0,29.4,2.0,0.0,1.0,0.0,0.0
73.0,282.5,2.0,0.0,0.0,61.0,30.8,2.0,0.0,1.0,29.0,0.0
48.0,230.0,1.0,0.0,0.0,25.0,12.6,2.0,0.0,3.0,0.0,0.0
99.0,251.33333333333334,3.0,0.0,0.0,63.333333333333336,15.933333333333332,2.0,0.0,2.0,37.96782263385084,0.0
155.0,356.0,1.0,0.0,0.0,107.0,24.9,2.0,0.0,3.0,0.0,0.0
29.0,490.0,1.0,0.0,0.0,27.0,27.9,2.0,0.0,1.0,0.0,0.0
73.0,491.0,1.0,0.0,0.0,57.0,12.7,2.0,0.0,1.0,0.0,0.0
130.0,349.0,1.0,0.0,0.0,125.0,24.1,2.0,0.0,1.0,0.0,0.0
113.0,322.0,1.0,0.0,0.0,61.0,21.9,2.0,0.0,1.0,0.0,0.0
21.0,486.0,1.0,0.0,0.0,0.0,16.8,2.0,0.0,1.0,0.0,0.0
56.5,259.5,2.0,0.0,0.0,36.5,19.25,2.0,0.0,1.5,15.5,0.0
5.0,347.0,1.0,0.0,0.0,0.0,23.6,2.0,0.0,1.0,0.0,0.0
113.0,286.0,2.0,0.0,0.0,87.0,27.05,2.0,0.0,1.0,9.0,0.0
106.33333333333333,115.0,3.0,0.0,0.0,85.66666666666667,24.066666666666666,2.0,0.0,1.5,28.54625875467552,0.0
6.0,177.0,1.0,0.0,0.0,0.0,17.2,2.0,0.0,1.0,0.0,0.0
145.0,460.0,1.0,0.0,0.0,115.0,24.7,2.0,0.0,3.0,0.0,0.0
117.0,188.0,1.0,0.0,0.0,103.0,17.9,2.0,0.0,1.0,0.0,0.0
140.0,343.0,1.0,0.0,0.0,83.0,24.8,2.0,0.0,1.0,0.0,0.0
63.0,209.0,1.0,0.0,0.0,49.0,18.6,2.0,0.0,1.0,0.0,0.0
84.0,182.0,1.0,0.0,0.0,77.0,26.6,2.0,0.0,1.0,0.0,0.0
15.0,479.0,1.0,0.0,1.0,0.0,36.4,2.0,0.0,3.0,0.0,0.0
16.0,330.0,1.0,0.0,1.0,0.0,23.2,2.0,0.0,3.0,0.0,0.0
105.0,361.0,1.0,0.0,0.0,89.0,17.1,2.0,0.0,1.0,0.0,0.0
109.0,349.0,1.0,0.0,0.0,96.0,20.1,2.0,0.0,3.0,0.0,0.0
6.0,141.0,1.0,0.0,1.0,0.0,10.0,2.0,0.0,3.0,0.0,0.0
76.0,295.5,2.0,0.0,0.0,40.0,18.45,2.0,0.0,1.0,10.0,0.0
80.0,147.0,1.0,0.0,0.0,39.0,36.4,2.0,0.0,1.0,0.0,0.0
122.5,363.0,2.0,0.0,0.0,108.5,26.15,2.0,0.0,1.0,12.5,0.0
52.0,330.0,1.0,0.0,0.0,39.0,22.1,2.0,0.0,3.0,0.0,0.0
